"HOUSEHOLD DATA
ANNUAL AVERAGES
39.  Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
Professional and related occupations,"29,213","1,270","13,008","1,532","16,204","1,121"
Computer and mathematical occupations,"5,083","1,633","3,838","1,738","1,246","1,423"
Computer and information research scientists,39,–,30,–,9,–
Computer systems analysts,529,"1,515",353,"1,621",175,"1,413"
Information security analysts,125,"2,078",114,"2,082",11,–
Computer programmers,388,"1,653",307,"1,673",82,"1,529"
Software developers,"1,742","1,920","1,420","2,004",322,"1,728"
Software quality assurance analysts and testers,94,"1,697",73,"1,977",21,–
Web developers,78,"1,554",60,"1,551",18,–
Web and digital interface designers,52,"1,158",30,–,22,–
Computer support specialists,584,"1,147",427,"1,163",157,"1,095"
Database administrators and architects,107,"1,725",78,"1,718",29,–
Network and computer systems administrators,235,"1,438",187,"1,461",48,–
Computer network architects,93,"1,902",83,"1,980",10,–
"Computer occupations, all other",716,"1,394",517,"1,456",199,"1,161"
Actuaries,24,–,15,–,9,–
Mathematicians,2,–,2,–,1,–
Operations research analysts,154,"1,615",81,"1,786",73,"1,460"
Statisticians,53,"1,572",24,–,30,–
Other mathematical science occupations,68,"1,416",38,–,30,–
Architecture and engineering occupations,"2,933","1,575","2,466","1,626",467,"1,382"
"Architects, except landscape and naval",136,"1,537",101,"1,549",34,–
Landscape architects,15,–,11,–,5,–
"Surveyors, cartographers, and photogrammetrists",38,–,36,–,3,–
Aerospace engineers,121,"1,939",107,"1,993",14,–
Agricultural engineers,6,–,6,–,0,–
Bioengineers and biomedical engineers,22,–,12,–,10,–
Chemical engineers,70,"1,862",55,"1,900",14,–
Civil engineers,370,"1,611",317,"1,629",54,"1,588"
Computer hardware engineers,84,"1,889",66,"1,884",18,–
Electrical and electronics engineers,243,"1,864",213,"1,866",30,–
Environmental engineers,26,–,15,–,11,–
"Industrial engineers, including health and safety",225,"1,584",179,"1,595",46,–
Marine engineers and naval architects,18,–,18,–,0,–
Materials engineers,52,"1,586",42,–,10,–
Mechanical engineers,348,"1,713",317,"1,736",31,–
"Mining and geological engineers, including mining safety engineers",15,–,13,–,2,–
Nuclear engineers,9,–,7,–,1,–
Petroleum engineers,18,–,16,–,2,–
"Engineers, all other",543,"1,746",460,"1,759",83,"1,463"
Architectural and civil drafters,34,–,25,–,9,–
Other drafters,77,"1,126",60,"1,137",16,–
Electrical and electronic engineering technologists and technicians,81,"1,172",78,"1,198",3,–
"Other engineering technologists and technicians, except drafters",340,"1,119",275,"1,186",65,900
Surveying and mapping technicians,43,–,38,–,6,–
"Life, physical, and social science occupations","1,401","1,336",735,"1,450",666,"1,202"
Agricultural and food scientists,26,–,15,–,11,–
Biological scientists,72,"1,141",37,–,35,–
Conservation scientists and foresters,11,–,8,–,3,–
Medical scientists,114,"1,612",53,"2,103",60,"1,372"
"Life scientists, all other",7,–,4,–,3,–
Astronomers and physicists,19,–,10,–,9,–
Atmospheric and space scientists,9,–,5,–,4,–
Chemists and materials scientists,83,"1,362",50,"1,435",34,–
"Environmental scientists and specialists, including health",39,–,19,–,20,–
"Geoscientists and hydrologists, except geographers",43,–,34,–,8,–
"Physical scientists, all other",324,"1,438",175,"1,728",149,"1,325"
Economists,26,–,15,–,11,–
Survey researchers,5,–,1,–,3,–
Clinical and counseling psychologists,8,–,3,–,5,–
School psychologists,34,–,5,–,29,–
Other psychologists,63,"1,435",13,–,50,"1,302"
Sociologists,3,–,1,–,2,–
Urban and regional planners,47,–,29,–,19,–
Miscellaneous social scientists and related workers,39,–,24,–,15,–
Agricultural and food science technicians,38,–,24,–,15,–
Biological technicians,22,–,7,–,15,–
Chemical technicians,64,"1,039",39,–,25,–
Environmental science and geoscience technicians,18,–,13,–,6,–
Nuclear technicians,6,–,6,–,0,–
Social science research assistants,3,–,2,–,1,–
"Other life, physical, and social science technicians",202,"1,074",90,"1,116",111,"1,047"
Occupational health and safety specialists and technicians,77,"1,444",53,"1,423",24,–
Community and social service occupations,"2,187","1,003",703,"1,103","1,484",976
Substance abuse and behavioral disorder counselors,99,950,17,–,82,966
"Educational, guidance, and career counselors and advisors",294,"1,080",72,"1,133",222,"1,061"
Marriage and family therapists,22,–,3,–,19,–
Mental health counselors,86,"1,066",21,–,65,"1,089"
Rehabilitation counselors,24,–,11,–,13,–
"Counselors, all other",132,956,47,–,85,947
"Child, family, and school social workers",58,894,7,–,51,894
Healthcare social workers,70,"1,152",9,–,61,"1,139"
Mental health and substance abuse social workers,19,–,2,–,17,–
"Social workers, all other",593,985,84,"1,170",509,972
Probation officers and correctional treatment specialists,111,"1,058",53,"1,203",58,977
Social and human service assistants,168,841,35,–,133,803
Other community and social service specialists,83,"1,034",22,–,62,"1,045"
Clergy,353,"1,055",292,"1,131",61,858
"Directors, religious activities and education",36,–,14,–,22,–
"Religious workers, all other",38,–,14,–,24,–
Legal occupations,"1,410","1,540",599,"2,275",812,"1,252"
Lawyers,821,"2,097",470,"2,324",351,"1,665"
Judicial law clerks,15,–,4,–,11,–
"Judges, magistrates, and other judicial workers",60,"1,856",26,–,34,–
Paralegals and legal assistants,343,942,48,–,295,918
"Title examiners, abstractors, and searchers",101,"1,136",25,–,76,989
"Legal support workers, all other",71,"1,042",25,–,46,–
"Education, training, and library occupations","7,012","1,096","1,870","1,327","5,142","1,026"
Postsecondary teachers,891,"1,516",443,"1,633",448,"1,384"
Preschool and kindergarten teachers,412,721,2,–,411,721
Elementary and middle school teachers,"3,064","1,118",634,"1,258","2,430","1,085"
Secondary school teachers,914,"1,199",383,"1,319",530,"1,149"
Special education teachers,301,"1,044",58,"1,102",244,"1,036"
Tutors,42,–,11,–,31,–
Other teachers and instructors,376,"1,061",145,"1,314",231,942
"Archivists, curators, and museum technicians",46,–,19,–,27,–
Librarians and media collections specialists,120,"1,073",19,–,100,"1,127"
Library technicians,17,–,2,–,14,–
Teaching assistants,714,617,123,732,591,604
Other educational instruction and library workers,116,"1,145",31,–,85,"1,108"
"Arts, design, entertainment, sports, and media occupations","1,681","1,179",877,"1,252",804,"1,128"
Artists and related workers,87,"1,116",59,"1,152",28,–
Commercial and industrial designers,6,–,3,–,3,–
Fashion designers,24,–,7,–,16,–
Floral designers,38,–,11,–,27,–
Graphic designers,209,"1,230",91,"1,395",119,"1,140"
Interior designers,74,"1,107",19,–,55,"1,021"
Merchandise displayers and window trimmers,22,–,10,–,12,–
Other designers,271,"1,210",170,"1,234",101,"1,107"
Actors,10,–,6,–,5,–
Producers and directors,123,"1,499",63,"1,458",60,"1,548"
Athletes and sports competitors,21,–,19,–,2,–
Coaches and scouts,90,931,54,946,36,–
"Umpires, referees, and other sports officials",9,–,9,–,1,–
Dancers and choreographers,4,–,0,–,4,–
Music directors and composers,16,–,13,–,3,–
Musicians and singers,12,–,10,–,2,–
"Disc jockeys, except radio",1,–,1,–,0,–
"Entertainers and performers, sports and related workers, all other",7,–,5,–,3,–
Broadcast announcers and radio disc jockeys,18,–,16,–,2,–
"News analysts, reporters, and journalists",62,"1,044",29,–,34,–
Public relations specialists,128,"1,553",48,–,80,"1,452"
Editors,57,"1,237",28,–,29,–
Technical writers,53,"1,347",28,–,26,–
Writers and authors,98,"1,257",35,–,64,"1,127"
Interpreters and translators,44,–,18,–,25,–
Court reporters and simultaneous captioners,21,–,3,–,18,–
"Media and communication workers, all other",14,–,8,–,6,–
"Broadcast, sound, and lighting technicians",53,"1,001",47,–,6,–
Photographers,66,990,36,–,30,–
"Television, video, and film camera operators and editors",40,–,30,–,10,–
"Media and communication equipment workers, all other",3,–,3,–,0,–
Healthcare practitioners and technical occupations,"7,504","1,227","1,921","1,506","5,584","1,153"
Chiropractors,9,–,8,–,2,–
Dentists,58,"2,079",41,–,18,–
Dietitians and nutritionists,83,"1,009",5,–,77,"1,019"
Optometrists,21,–,11,–,10,–
Pharmacists,241,"2,222",108,"2,286",134,"2,160"
Emergency medicine physicians,10,–,8,–,2,–
Radiologists,20,–,15,–,5,–
Other physicians,752,"2,102",439,"2,311",313,"1,905"
Surgeons,48,–,32,–,16,–
Physician assistants,113,"1,911",47,–,67,"1,894"
Podiatrists,5,–,4,–,1,–
Audiologists,13,–,1,–,12,–
Occupational therapists,96,"1,373",11,–,85,"1,357"
Physical therapists,209,"1,468",74,"1,591",135,"1,451"
Radiation therapists,11,–,8,–,3,–
Recreational therapists,11,–,3,–,7,–
Respiratory therapists,100,"1,162",29,–,71,"1,093"
Speech-language pathologists,152,"1,297",8,–,143,"1,272"
Exercise physiologists,5,–,0,–,4,–
"Therapists, all other",159,"1,043",29,–,130,986
Veterinarians,55,"1,795",19,–,36,–
Registered nurses,"2,701","1,262",364,"1,454","2,337","1,240"
Nurse anesthetists,30,–,15,–,16,–
Nurse midwives,7,–,0,–,7,–
Nurse practitioners,171,"1,872",26,–,145,"1,867"
Acupuncturists,7,–,4,–,3,–
"Healthcare diagnosing or treating practitioners, all other",1,–,0,–,1,–
Clinical laboratory technologists and technicians,289,"1,028",78,"1,195",211,946
Dental hygienists,96,"1,125",7,–,89,"1,083"
Cardiovascular technologists and technicians,37,–,12,–,25,–
Diagnostic medical sonographers,73,"1,227",12,–,61,"1,208"
Radiologic technologists and technicians,222,"1,103",77,"1,234",145,"1,063"
Magnetic resonance imaging technologists,45,–,24,–,21,–
Nuclear medicine technologists and medical dosimetrists,39,–,21,–,18,–
Emergency medical technicians,134,844,90,936,44,–
Paramedics,65,"1,163",43,–,23,–
Pharmacy technicians,257,723,58,814,199,700
Psychiatric technicians,53,658,5,–,48,–
Surgical technologists,74,875,25,–,49,–
Veterinary technologists and technicians,73,655,8,–,65,633
Dietetic technicians and ophthalmic medical technicians,44,–,10,–,34,–
Licensed practical and licensed vocational nurses,500,875,55,964,445,864
Medical records specialists,166,888,4,–,162,893
"Opticians, dispensing",32,–,4,–,27,–
Miscellaneous health technologists and technicians,143,888,51,"1,120",93,825
Other healthcare practitioners and technical occupations,73,"1,254",30,–,43,–
,,,,,,
Service occupations,"13,771",621,"6,740",704,"7,032",574
Healthcare support occupations,"3,210",606,532,640,"2,678",600
Home health aides,310,549,27,–,283,551
Personal care aides,788,543,176,567,612,537
Nursing assistants,966,595,115,689,851,588
Orderlies and psychiatric aides,57,663,27,–,30,–
Occupational therapy assistants and aides,26,–,5,–,21,–
Physical therapist assistants and aides,58,964,21,–,37,–
Massage therapists,38,–,14,–,25,–
Dental assistants,204,661,11,–,193,663
Medical assistants,450,675,44,–,407,665
Medical transcriptionists,29,–,4,–,24,–
Pharmacy aides,32,–,11,–,21,–
Veterinary assistants and laboratory animal caretakers,42,–,12,–,31,–
Phlebotomists,86,614,15,–,70,612
Other healthcare support workers,124,682,51,738,73,615
Protective service occupations,"2,690",982,"2,080","1,043",610,768
First-line supervisors of correctional officers,51,976,34,–,16,–
First-line supervisors of police and detectives,92,"1,551",80,"1,553",11,–
First-line supervisors of firefighting and prevention workers,34,–,30,–,4,–
First-line supervisors of security workers,67,946,44,–,24,–
"First-line supervisors of protective service workers, all other",8,–,8,–,0,–
Firefighters,320,"1,233",304,"1,256",16,–
Fire inspectors,21,–,20,–,1,–
Bailiffs,11,–,5,–,5,–
Correctional officers and jailers,337,907,225,"1,073",112,743
Detectives and criminal investigators,146,"1,437",107,"1,544",39,–
Fish and game wardens,5,–,4,–,1,–
Parking enforcement workers,7,–,5,–,2,–
Police officers,742,"1,155",611,"1,188",131,"1,074"
Animal control workers,9,–,7,–,3,–
Private detectives and investigators,72,979,38,–,35,–
Security guards and gambling surveillance officers,673,650,503,680,170,583
Crossing guards and flaggers,17,–,10,–,7,–
Transportation security screeners,40,–,24,–,16,–
School bus monitors,0,–,0,–,0,–
Other protective service workers,37,–,22,–,15,–
Food preparation and serving related occupations,"3,353",530,"1,700",570,"1,653",506
Chefs and head cooks,321,696,263,707,57,613
First-line supervisors of food preparation and serving workers,335,602,137,636,198,583
Cooks,"1,026",510,610,512,416,505
Food preparation workers,355,510,132,576,224,489
Bartenders,169,648,99,708,70,585
Fast food and counter workers,231,468,84,462,146,470
Waiters and waitresses,600,514,212,563,388,497
"Food servers, nonrestaurant",85,531,25,–,60,513
Dining room and cafeteria attendants and bartender helpers,99,508,50,545,48,–
Dishwashers,83,528,74,567,9,–
"Hosts and hostesses, restaurant, lounge, and coffee shop",46,–,10,–,36,–
"Food preparation and serving related workers, all other",4,–,3,–,1,–
Building and grounds cleaning and maintenance occupations,"3,138",603,"2,051",651,"1,087",511
First-line supervisors of housekeeping and janitorial workers,171,738,107,902,64,596
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",108,786,102,785,6,–
Janitors and building cleaners,"1,372",614,925,662,447,522
Maids and housekeeping cleaners,629,503,98,556,531,497
Pest control workers,90,749,87,747,3,–
Landscaping and groundskeeping workers,665,605,635,603,30,–
Tree trimmers and pruners,82,666,77,684,5,–
Other grounds maintenance workers,21,–,20,–,1,–
Personal care and service occupations,"1,380",616,376,740,"1,004",591
Supervisors of personal care and service workers,96,761,35,–,60,719
Animal trainers,34,–,12,–,22,–
Animal caretakers,108,626,22,–,86,591
Gambling services workers,53,765,27,–,26,–
"Ushers, lobby attendants, and ticket takers",3,–,1,–,1,–
Other entertainment attendants and related workers,47,–,31,–,15,–
"Embalmers, crematory operators, and funeral attendants",8,–,7,–,2,–
"Morticians, undertakers, and funeral arrangers",10,–,8,–,2,–
Barbers,49,–,39,–,11,–
"Hairdressers, hairstylists, and cosmetologists",205,606,24,–,180,601
Manicurists and pedicurists,110,607,26,–,84,578
Skincare specialists,23,–,3,–,20,–
Other personal appearance workers,5,–,0,–,5,–
"Baggage porters, bellhops, and concierges",44,–,28,–,16,–
Tour and travel guides,16,–,13,–,3,–
Childcare workers,383,537,25,–,358,542
Exercise trainers and group fitness instructors,53,618,20,–,33,–
Recreation workers,80,715,29,–,51,658
Residential advisors,17,–,10,–,7,–
"Personal care and service workers, all other",37,–,14,–,22,–
,,,,,,
Sales and office occupations,"21,165",809,"8,435",956,"12,729",746
Sales and related occupations,"8,958",880,"4,991","1,046","3,967",715
First-line supervisors of retail sales workers,"2,141",858,"1,181",981,960,733
First-line supervisors of non-retail sales workers,783,"1,226",510,"1,338",273,"1,076"
Cashiers,"1,088",507,284,524,805,501
Counter and rental clerks,48,–,27,–,21,–
Parts salespersons,97,741,77,756,20,–
Retail salespersons,"1,603",705,992,779,611,603
Advertising sales agents,120,"1,066",50,"1,199",69,"1,055"
Insurance sales agents,469,931,226,"1,169",242,825
"Securities, commodities, and financial services sales agents",200,"1,545",158,"1,880",41,–
Travel agents,30,–,7,–,23,–
"Sales representatives of services, except advertising, insurance, financial services, and travel",497,"1,351",333,"1,482",163,"1,101"
"Sales representatives, wholesale and manufacturing","1,073","1,275",758,"1,378",315,"1,065"
"Models, demonstrators, and product promoters",6,–,3,–,3,–
Real estate brokers and sales agents,498,"1,084",215,"1,352",283,937
Sales engineers,37,–,32,–,5,–
Telemarketers,28,–,13,–,15,–
"Door-to-door sales workers, news and street vendors, and related workers",34,–,23,–,12,–
"Sales and related workers, all other",206,950,100,"1,039",106,838
Office and administrative support occupations,"12,207",781,"3,445",868,"8,762",756
First-line supervisors of office and administrative support workers,"1,129",966,395,"1,145",734,925
"Switchboard operators, including answering service",8,–,1,–,7,–
Telephone operators,19,–,6,–,14,–
"Communications equipment operators, all other",8,–,6,–,3,–
Bill and account collectors,96,758,27,–,69,744
Billing and posting clerks,379,749,40,–,339,736
"Bookkeeping, accounting, and auditing clerks",741,824,105,"1,101",636,809
Gambling cage workers,11,–,5,–,6,–
Payroll and timekeeping clerks,129,945,18,–,111,921
Procurement clerks,27,–,11,–,16,–
Tellers,225,639,42,–,183,634
"Financial clerks, all other",90,"1,039",31,–,58,903
Brokerage clerks,4,–,2,–,3,–
Correspondence clerks,3,–,0,–,3,–
"Court, municipal, and license clerks",73,777,8,–,65,764
"Credit authorizers, checkers, and clerks",41,–,13,–,28,–
Customer service representatives,"1,814",721,655,771,"1,160",698
"Eligibility interviewers, government programs",71,898,17,–,54,824
File clerks,138,751,32,–,106,744
"Hotel, motel, and resort desk clerks",60,534,10,–,50,520
"Interviewers, except eligibility and loan",155,711,33,–,123,710
"Library assistants, clerical",25,–,6,–,19,–
Loan interviewers and clerks,135,911,32,–,103,874
New accounts clerks,22,–,8,–,14,–
Order clerks,75,704,36,–,39,–
"Human resources assistants, except payroll and timekeeping",44,–,6,–,38,–
Receptionists and information clerks,846,642,108,688,738,636
Reservation and transportation ticket agents and travel clerks,81,879,37,–,44,–
"Information and record clerks, all other",81,915,24,–,57,830
Cargo and freight agents,16,–,9,–,7,–
Couriers and messengers,340,779,284,814,55,701
Public safety telecommunicators,102,858,42,–,60,799
"Dispatchers, except police, fire, and ambulance",178,768,84,908,95,717
"Meter readers, utilities",18,–,17,–,1,–
Postal service clerks,80,"1,010",35,–,45,–
Postal service mail carriers,290,"1,017",185,"1,089",104,962
"Postal service mail sorters, processors, and processing machine operators",60,977,34,–,26,–
"Production, planning, and expediting clerks",243,"1,072",118,"1,227",125,908
"Shipping, receiving, and inventory clerks",505,696,340,713,165,667
"Weighers, measurers, checkers, and samplers, recordkeeping",53,729,30,–,23,–
Executive secretaries and executive administrative assistants,170,991,12,–,158,991
Legal secretaries and administrative assistants,54,914,12,–,42,–
Medical secretaries and administrative assistants,63,804,4,–,59,800
"Secretaries and administrative assistants, except legal, medical, and executive","1,607",781,112,929,"1,496",777
Data entry keyers,180,710,51,803,128,700
Word processors and typists,32,–,6,–,26,–
Desktop publishers,0,–,0,–,0,–
Insurance claims and policy processing clerks,221,760,37,–,184,759
"Mail clerks and mail machine operators, except postal service",35,–,19,–,17,–
"Office clerks, general",912,736,153,790,759,726
"Office machine operators, except computer",12,–,4,–,9,–
Proofreaders and copy markers,4,–,2,–,2,–
Statistical assistants,66,"1,272",39,–,27,–
"Office and administrative support workers, all other",437,867,107,836,330,875
,,,,,,
"Natural resources, construction, and maintenance occupations","10,690",905,"10,152",917,538,682
"Farming, fishing, and forestry occupations",787,589,600,608,187,528
"First-line supervisors of farming, fishing, and forestry workers",43,–,39,–,5,–
Agricultural inspectors,14,–,6,–,8,–
Animal breeders,0,–,0,–,0,–
"Graders and sorters, agricultural products",41,–,11,–,30,–
Miscellaneous agricultural workers,628,574,491,589,137,519
Fishing and hunting workers,14,–,14,–,0,–
Forest and conservation workers,17,–,10,–,7,–
Logging workers,29,–,29,–,0,–
Construction and extraction occupations,"5,826",906,"5,635",910,191,796
First-line supervisors of construction trades and extraction workers,596,"1,200",579,"1,199",17,–
Boilermakers,14,–,14,–,0,–
"Brickmasons, blockmasons, and stonemasons",87,749,87,749,0,–
Carpenters,756,892,739,889,17,–
"Carpet, floor, and tile installers and finishers",117,770,113,785,4,–
"Cement masons, concrete finishers, and terrazzo workers",54,782,52,787,2,–
Construction laborers,"1,343",783,"1,304",788,39,–
Construction equipment operators,328,979,317,980,10,–
"Drywall installers, ceiling tile installers, and tapers",131,784,123,787,8,–
Electricians,735,"1,024",713,"1,035",22,–
Glaziers,43,–,41,–,2,–
Insulation workers,49,–,47,–,2,–
Painters and paperhangers,316,691,290,695,26,–
Pipelayers,41,–,39,–,1,–
"Plumbers, pipefitters, and steamfitters",444,"1,002",436,"1,004",8,–
Plasterers and stucco masons,24,–,24,–,0,–
Reinforcing iron and rebar workers,3,–,3,–,0,–
Roofers,146,732,145,729,1,–
Sheet metal workers,103,905,99,905,4,–
Structural iron and steel workers,38,–,36,–,1,–
Solar photovoltaic installers,18,–,18,–,0,–
"Helpers, construction trades",48,–,46,–,2,–
Construction and building inspectors,73,"1,119",62,"1,113",11,–
Elevator and escalator installers and repairers,17,–,17,–,0,–
Fence erectors,27,–,27,–,0,–
Hazardous materials removal workers,26,–,22,–,4,–
Highway maintenance workers,89,846,83,868,6,–
Rail-track laying and maintenance equipment operators,5,–,5,–,0,–
Septic tank servicers and sewer pipe cleaners,4,–,4,–,0,–
Miscellaneous construction and related workers,22,–,22,–,0,–
"Derrick, rotary drill, and service unit operators, oil and gas",16,–,16,–,0,–
"Excavating and loading machine and dragline operators, surface mining",6,–,6,–,0,–
"Earth drillers, except oil and gas",19,–,18,–,1,–
"Explosives workers, ordnance handling experts, and blasters",6,–,6,–,0,–
Underground mining machine operators,35,–,33,–,2,–
"Roustabouts, oil and gas",7,–,7,–,0,–
Other extraction workers,40,–,40,–,0,–
"Installation, maintenance, and repair occupations","4,077",984,"3,917",991,160,801
"First-line supervisors of mechanics, installers, and repairers",212,"1,269",191,"1,283",21,–
"Computer, automated teller, and office machine repairers",142,960,127,965,15,–
Radio and telecommunications equipment installers and repairers,125,"1,192",116,"1,242",8,–
Avionics technicians,8,–,8,–,0,–
"Electric motor, power tool, and related repairers",15,–,14,–,0,–
"Electrical and electronics installers and repairers, transportation equipment",3,–,3,–,0,–
"Electrical and electronics repairers, industrial and utility",9,–,9,–,0,–
"Electronic equipment installers and repairers, motor vehicles",4,–,4,–,0,–
Audiovisual equipment installers and repairers,23,–,22,–,1,–
Security and fire alarm systems installers,50,"1,028",50,"1,028",0,–
Aircraft mechanics and service technicians,151,"1,164",146,"1,174",5,–
Automotive body and related repairers,102,904,100,975,2,–
Automotive glass installers and repairers,12,–,10,–,3,–
Automotive service technicians and mechanics,585,855,581,857,4,–
Bus and truck mechanics and diesel engine specialists,312,"1,023",306,"1,023",6,–
Heavy vehicle and mobile equipment service technicians and mechanics,179,999,178,998,1,–
Small engine mechanics,36,–,36,–,0,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",72,665,71,668,1,–
Control and valve installers and repairers,25,–,24,–,1,–
"Heating, air conditioning, and refrigeration mechanics and installers",382,"1,003",377,"1,011",6,–
Home appliance repairers,24,–,22,–,1,–
Industrial and refractory machinery mechanics,401,"1,031",377,"1,049",23,–
"Maintenance and repair workers, general",550,895,526,897,24,–
"Maintenance workers, machinery",22,–,22,–,0,–
Millwrights,62,"1,178",61,"1,185",1,–
Electrical power-line installers and repairers,139,"1,268",136,"1,306",2,–
Telecommunications line installers and repairers,155,"1,031",146,"1,076",9,–
Precision instrument and equipment repairers,62,"1,085",52,"1,098",11,–
Wind turbine service technicians,5,–,4,–,1,–
"Coin, vending, and amusement machine servicers and repairers",27,–,22,–,6,–
Commercial divers,3,–,3,–,0,–
Locksmiths and safe repairers,19,–,19,–,0,–
Manufactured building and mobile home installers,3,–,3,–,0,–
Riggers,6,–,6,–,0,–
"Helpers--installation, maintenance, and repair workers",16,–,14,–,2,–
"Other installation, maintenance, and repair workers",139,780,131,810,8,–
,,,,,,
"Production, transportation, and material moving occupations","14,738",746,"11,494",796,"3,243",614
Production occupations,"6,820",775,"5,055",841,"1,765",630
First-line supervisors of production and operating workers,713,"1,038",591,"1,099",122,816
"Aircraft structure, surfaces, rigging, and systems assemblers",3,–,2,–,1,–
"Electrical, electronics, and electromechanical assemblers",90,640,53,742,37,–
Engine and other machine assemblers,3,–,3,–,0,–
Structural metal fabricators and fitters,17,–,17,–,0,–
Other assemblers and fabricators,828,705,565,740,263,638
Bakers,131,596,53,621,78,584
"Butchers and other meat, poultry, and fish processing workers",221,733,163,754,57,642
"Food and tobacco roasting, baking, and drying machine operators and tenders",8,–,7,–,1,–
Food batchmakers,70,649,32,–,38,–
Food cooking machine operators and tenders,7,–,2,–,5,–
"Food processing workers, all other",118,669,74,743,44,–
Computer numerically controlled tool operators and programmers,96,964,89,974,6,–
"Forming machine setters, operators, and tenders, metal and plastic",24,–,23,–,1,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",69,821,58,843,11,–
